zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5389, 11), P2(5389, 11), HeightProb:80, HeightStatus:1, Dist:1621, PosDeDis1:1663, l_TrainResult:0, probability:2573
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5389, -71), P2(5389, -71), HeightProb:80, HeightStatus:1, Dist:1643, PosDeDis1:1663, l_TrainResult:0, probability:2573
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5359, 206), P2(5359, 206), HeightProb:80, HeightStatus:1, Dist:1589, PosDeDis1:1638, l_TrainResult:0, probability:2351
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5359, 199), P2(5359, 199), HeightProb:80, HeightStatus:1, Dist:1589, PosDeDis1:1638, l_TrainResult:0, probability:2010
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5358, 21), P2(5358, 21), HeightProb:80, HeightStatus:1, Dist:1593, PosDeDis1:1638, l_TrainResult:0, probability:2010
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5325, 170), P2(5325, 170), HeightProb:80, HeightStatus:1, Dist:1565, PosDeDis1:1631, l_TrainResult:0, probability:2460
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5337, -36), P2(5337, -36), HeightProb:80, HeightStatus:1, Dist:1576, PosDeDis1:1631, l_TrainResult:0, probability:2460
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5312, 661), P2(5321, -13), HeightProb:80, HeightStatus:1, Dist:1548, PosDeDis1:1730, l_TrainResult:0, probability:3543
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5301, 661), P2(5309, -13), HeightProb:80, HeightStatus:1, Dist:1547, PosDeDis1:1591, l_TrainResult:0, probability:1708
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5302, 661), P2(5310, -13), HeightProb:80, HeightStatus:1, Dist:1547, PosDeDis1:1591, l_TrainResult:0, probability:1978
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5311, -30), P2(5302, 661), HeightProb:80, HeightStatus:1, Dist:1536, PosDeDis1:1597, l_TrainResult:0, probability:2176
