Train_OD_Project,ObjName,HeightLabel,Direction,Obj_ID,CurCyc,PosDeDis1,PosDeAmp1,PosDeDis2,PosDeAmp2,PosCeDis1,PosCeAmp1,PosCeDis2,PosCeAmp2,TrainObjDist,AvgDeEchoHigh_SameTx,AvgCeEchoHigh_SameTxRx,OdoDiffObjDis,OdoDiffDeDis,OdoDiff,ObjDiff,CosAngle,RateOfVhoDeDiff,AngleDist,TxSensID
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2754,274,0,0,5100,0,0,0,2672,394,438,74,74,869,795,10000,9639,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,3215,201,0,0,3134,0,0,0,3016,542,458,360,360,1167,807,10000,0,2078,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,3361,216,0,0,3357,156,0,0,3301,542,458,298,286,1453,1155,10000,10313,333,3
Train_OD_HY11,路沿13cm2mid,0,front,2,3,1932,809,0,0,5100,0,0,0,1884,542,458,15,12,465,450,9867,10287,313,3
Train_OD_HY11,路沿13cm2mid,0,front,2,4,1875,1275,0,0,5100,0,0,0,1827,628,628,63,63,524,461,9897,10350,264,3
Train_OD_HY11,路沿13cm2mid,0,front,2,5,1810,1501,0,0,5100,0,0,0,1758,844,628,78,78,596,518,9906,11076,249,3
Train_OD_HY11,路沿13cm2mid,0,front,3,6,1757,1966,0,0,5100,0,0,0,1704,1008,919,56,56,643,587,10000,8867,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,7,1750,1166,0,0,5100,0,0,0,1681,1199,1181,26,26,667,641,10000,10593,490,4
Train_OD_HY11,路沿13cm2mid,0,front,3,8,1694,1931,0,0,5100,0,0,0,1634,998,998,51,52,715,664,10000,11428,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1695,1107,0,0,5100,0,0,0,1622,1321,1331,16,16,727,711,10000,10909,483,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1634,1770,0,0,5100,0,0,0,1574,1034,1034,52,52,357,305,10000,9833,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1637,1167,0,0,5100,0,0,0,1562,1542,1595,12,11,333,321,10000,10172,476,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1742,511,0,0,5100,0,0,0,1538,1146,1146,23,24,345,322,10000,0,971,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1570,2073,0,0,5100,0,0,0,1515,1146,1146,21,24,310,289,10000,9375,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1570,945,1648,812,5100,0,0,0,1491,1848,1848,19,19,262,243,10000,10746,455,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1678,546,0,0,5100,0,0,0,1467,1096,1096,25,24,238,213,10000,11093,930,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1518,2864,0,0,5100,0,0,0,1443,528,528,24,24,238,214,10000,13653,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1518,2864,0,0,5100,0,0,0,1445,2159,528,-1,-1,190,191,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1510,1002,0,0,5100,0,0,0,1433,2392,2235,13,14,190,177,10000,9833,448,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1646,436,0,0,5100,0,0,0,1420,1038,1038,14,14,155,141,10000,0,1391,5
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1625,740,0,0,5100,0,0,0,1397,1038,1038,25,24,167,142,10000,13584,892,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1450,2011,0,0,5100,0,0,0,1387,599,599,14,14,155,141,10000,8823,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1445,1652,0,0,5100,0,0,0,1376,2453,2316,15,15,143,128,10000,9230,385,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1385,1156,0,0,5100,0,0,0,1328,1199,1199,51,51,166,115,10000,9076,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1376,1824,0,0,5100,0,0,0,1304,2223,2010,28,28,167,139,10000,10289,377,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1507,1079,0,0,5100,0,0,0,1269,1492,1492,40,38,179,139,10000,11101,820,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1440,428,0,0,5100,0,0,0,1208,909,909,63,63,239,176,10000,10436,1227,5
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1413,1121,0,0,5100,0,0,0,1196,432,432,13,14,238,225,10000,7553,759,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1257,708,0,0,5100,0,0,0,1184,980,980,14,13,238,224,10000,11171,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1257,708,0,0,5100,0,0,0,1186,1291,980,1,-1,214,213,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1253,1999,0,0,5100,0,0,0,1165,1145,1291,25,25,226,201,10000,11626,314,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1253,1999,0,0,5100,0,0,0,1164,1825,1825,3,3,214,211,10000,0,250,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1390,1138,0,0,5100,0,0,0,1151,1940,1825,15,15,179,164,10000,11799,1052,5
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1363,1626,0,0,5100,0,0,0,1140,783,783,14,14,167,153,10000,12000,728,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1191,657,0,0,5100,0,0,0,1118,1275,1275,26,26,155,129,10000,10909,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1275,706,0,0,5100,0,0,0,1104,691,682,29,30,119,90,10000,32727,137,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1275,706,0,0,5100,0,0,0,1105,1568,1352,16,11,108,92,10000,0,64,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1325,1226,0,0,5100,0,0,0,1101,1352,1352,29,24,108,79,10000,11076,804,5
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1294,1605,0,0,5100,0,0,0,1089,1182,1182,34,33,119,85,10000,10289,687,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1130,981,0,0,5100,0,0,0,1066,1615,1615,43,44,119,76,10000,11639,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1250,984,0,0,5100,0,0,0,1030,819,1615,57,55,155,98,10000,9466,726,5
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1227,1475,0,0,5100,0,0,0,1018,1116,1116,34,34,155,121,10000,10746,649,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1061,1369,0,0,5100,0,0,0,995,1568,1568,45,45,167,122,10000,10434,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1044,2177,1115,924,5100,0,0,0,972,1002,1175,44,44,167,123,10000,6190,1,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1181,698,0,0,5100,0,0,0,950,1196,1441,34,34,166,132,10000,12028,681,5
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1164,1774,0,0,5100,0,0,0,951,969,969,11,3,166,155,10000,11269,609,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,983,2095,0,0,5100,0,0,0,905,1618,1618,52,53,202,150,10000,11639,1,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1101,1189,0,0,5100,0,0,0,883,2136,1618,31,28,215,184,10000,11428,563,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1076,746,0,0,5100,0,0,0,859,1479,1479,32,32,215,183,10000,29797,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1076,746,0,0,5100,0,0,0,861,1057,1057,8,7,179,171,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,919,1134,0,0,5100,0,0,0,838,953,1057,33,32,190,157,10000,11093,1,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,1043,1401,0,0,5100,0,0,0,813,1802,1655,33,32,190,157,10000,12241,378,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,896,684,0,0,5100,0,0,0,792,1454,1454,31,29,190,159,10000,3944,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,896,684,0,0,5100,0,0,0,792,725,715,9,4,167,158,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,978,775,0,0,5100,0,0,0,736,715,715,68,64,227,159,10000,12923,335,2
Train_OD_HY11,路沿13cm2mid,0,front,3,9,755,849,0,0,5100,0,0,0,657,1121,1121,93,91,262,169,10000,10141,1,3
Train_OD_HY11,路沿13cm2mid,0,front,3,9,746,1104,0,0,5100,0,0,0,634,741,759,36,36,262,226,10000,12427,1,4
Train_OD_HY11,路沿13cm2mid,0,front,3,9,796,907,0,0,5100,0,0,0,528,1119,1119,120,118,345,225,10000,11758,220,2
Train_OD_HY11,路沿13cm2mid,0,front,2,3,1182,694,0,0,5100,0,0,0,1082,1119,1119,5,118,95,90,9689,0,279,3
Train_OD_HY11,路沿13cm2mid,0,front,2,4,1442,840,0,0,5100,0,0,0,1192,694,1119,116,111,214,98,5711,9342,1208,2
Train_OD_HY11,路沿13cm2mid,0,front,2,5,1333,676,0,0,5100,0,0,0,1252,1021,1021,66,58,274,208,9789,11854,266,3
Train_OD_HY11,路沿13cm2mid,0,front,2,6,1376,1205,1443,840,5100,0,0,0,1285,688,685,42,37,310,268,8864,12601,657,4
